timestamp,temperature_c,humidity_pct,soil_moisture_pct,motor_state,motor_on_duration_min
2024-01-01 06:00:00,31.2,93.6,77.07,0,0
2024-01-01 06:15:00,31.2,93.6,77.07,0,0
2024-01-01 06:30:00,30.5,74.6,32.23,0,0
2024-01-01 06:45:00,30.4,76.6,32.4,0,0
2024-01-01 07:00:00,30.4,76.6,32.4,0,0
2024-01-01 07:15:00,30.3,77.1,32.23,0,0
2024-01-01 07:30:00,30.3,76.5,32.23,0,0
2024-01-01 07:45:00,30.3,78.1,32.23,0,0
2024-01-01 08:00:00,30.3,78.8,32.23,0,0
2024-01-01 08:15:00,30.3,78.8,32.23,0,0
2024-01-01 08:30:00,30.2,77.5,32.4,0,0
2024-01-01 08:45:00,30.2,77.6,32.23,0,0
2024-01-01 09:00:00,30.2,77.6,32.23,0,0
2024-01-01 09:15:00,30.2,78.7,32.23,0,0
2024-01-01 09:30:00,30.2,78.5,32.23,0,0
2024-01-01 09:45:00,30.1,78.5,32.23,0,0
2024-01-01 10:00:00,30.1,78.9,32.23,0,0
2024-01-01 10:15:00,30.1,80.4,32.23,0,0
2024-01-01 10:30:00,30.1,78.9,32.23,0,0
2024-01-01 10:45:00,30.0,77.6,32.23,0,0
2024-01-01 11:00:00,30.0,79.7,32.23,0,0
2024-01-01 11:15:00,30.0,78.9,32.23,0,0
2024-01-01 11:30:00,29.9,77.3,32.23,0,0
2024-01-01 11:45:00,29.8,77.0,32.23,0,0
2024-01-01 12:00:00,29.7,77.9,32.23,0,0
2024-01-01 12:15:00,29.6,77.8,32.23,0,0
2024-01-01 12:30:00,29.6,79.1,32.06,0,0
2024-01-01 12:45:00,29.6,80.6,32.06,0,0
2024-01-01 13:00:00,29.5,78.7,32.06,0,0
2024-01-01 13:15:00,29.5,80.6,32.06,0,0
2024-01-01 13:30:00,29.5,79.7,32.23,0,0
2024-01-01 13:45:00,29.4,81.3,32.23,0,0
2024-01-01 14:00:00,29.4,79.2,32.06,0,0
2024-01-01 14:15:00,29.4,79.8,32.06,0,0
2024-01-01 14:30:00,29.4,80.7,32.06,0,0
2024-01-01 14:45:00,29.4,80.7,32.06,0,0
2024-01-01 15:00:00,29.5,79.2,32.06,0,0
2024-01-01 15:15:00,29.5,79.1,32.23,0,0
2024-01-01 15:30:00,29.6,79.9,32.23,0,0
2024-01-01 15:45:00,29.6,81.9,32.06,0,0
2024-01-01 16:00:00,29.7,79.1,32.06,0,0
2024-01-01 16:15:00,30.3,75.6,32.06,0,0
2024-01-01 16:30:00,30.2,76.7,32.06,0,0
2024-01-01 16:45:00,30.2,76.2,32.06,0,0
2024-01-01 17:00:00,30.2,74.7,32.06,0,0
2024-01-01 17:15:00,30.2,75.8,32.06,0,0
2024-01-01 17:30:00,30.2,75.7,32.06,0,0
2024-01-01 17:45:00,31.2,95.0,80.52,0,0
2024-01-01 18:00:00,31.2,95.0,80.52,0,0
2024-01-01 18:15:00,25.9,94.4,32.58,0,0
2024-01-01 18:30:00,26.0,92.6,28.27,0,0
2024-01-01 18:45:00,26.0,95.0,32.75,0,0
2024-01-01 19:00:00,25.9,95.0,30.51,0,0
2024-01-01 19:15:00,25.9,98.2,27.75,0,0
2024-01-01 19:30:00,25.9,92.7,24.99,0,0
2024-01-01 19:45:00,28.9,80.4,18.61,1,1
2024-01-01 20:00:00,28.8,80.9,18.09,1,2
2024-01-01 20:15:00,28.8,79.9,33.44,1,3
